Run,"Adaptation 
Steps","Burn-in 
Steps",Chains,"Thinning 
Steps","Saved 
Steps","Sequential 
Run","Parallel 
Run"
1,1000,500,3,27,2100,,
2,1000,500,3,81,2100,,
3,1000,500,3,135,2100,,
